ID	Title	From	To	House	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Speaker_role	Speaker_type	Speaker_party	Speaker_party_name	Party_status	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-GB_2015-01-05-commons.u229	Minutes of the House of Commons, Daily Session 2015-01-05	2015-01-05	2015-01-05	Lower house	55					Reference	Regular	MP	CON	Conservative	Coalition	McLoughlin, Patrick	M	-
ParlaMint-GB_2015-01-05-commons.u230	Minutes of the House of Commons, Daily Session 2015-01-05	2015-01-05	2015-01-05	Lower house	55					Reference	Regular	MP	CON	Conservative	Coalition	Lefroy, Jeremy John Elton	M	-
ParlaMint-GB_2015-01-05-commons.u231	Minutes of the House of Commons, Daily Session 2015-01-05	2015-01-05	2015-01-05	Lower house	55					Reference	Regular	MP	CON	Conservative	Coalition	McLoughlin, Patrick	M	-
ParlaMint-GB_2015-01-05-commons.u232	Minutes of the House of Commons, Daily Session 2015-01-05	2015-01-05	2015-01-05	Lower house	55					Reference	Regular	MP	LAB	Labour	Opposition	Fitzpatrick, James	M	-
ParlaMint-GB_2015-01-05-commons.u233	Minutes of the House of Commons, Daily Session 2015-01-05	2015-01-05	2015-01-05	Lower house	55					Reference	Regular	MP	CON	Conservative	Coalition	McLoughlin, Patrick	M	-
ParlaMint-GB_2015-01-05-commons.u234	Minutes of the House of Commons, Daily Session 2015-01-05	2015-01-05	2015-01-05	Lower house	55					Reference	Regular	MP	CON	Conservative	Coalition	Elphicke, Brett Charles Anthony	M	-
ParlaMint-GB_2015-01-05-commons.u235	Minutes of the House of Commons, Daily Session 2015-01-05	2015-01-05	2015-01-05	Lower house	55					Reference	Regular	MP	CON	Conservative	Coalition	McLoughlin, Patrick	M	-
ParlaMint-GB_2015-01-05-commons.u236	Minutes of the House of Commons, Daily Session 2015-01-05	2015-01-05	2015-01-05	Lower house	55					Reference	Regular	MP	LAB	Labour	Opposition	McCarthy, Kerry Gillian	F	-
ParlaMint-GB_2015-01-05-commons.u237	Minutes of the House of Commons, Daily Session 2015-01-05	2015-01-05	2015-01-05	Lower house	55					Reference	Regular	MP	CON	Conservative	Coalition	McLoughlin, Patrick	M	-
ParlaMint-GB_2015-01-05-commons.u238	Minutes of the House of Commons, Daily Session 2015-01-05	2015-01-05	2015-01-05	Lower house	55					Reference	Regular	MP	CON	Conservative	Coalition	Hunt, Jeremy Richard Streynsham	M	-
ParlaMint-GB_2015-01-05-commons.u239	Minutes of the House of Commons, Daily Session 2015-01-05	2015-01-05	2015-01-05	Lower house	55					Reference	Regular	MP	LAB	Labour	Opposition	Burnham, Andrew Murray	M	-
ParlaMint-GB_2015-01-05-commons.u240	Minutes of the House of Commons, Daily Session 2015-01-05	2015-01-05	2015-01-05	Lower house	55					Reference	Regular	MP	CON	Conservative	Coalition	Hunt, Jeremy Richard Streynsham	M	-
ParlaMint-GB_2015-01-05-commons.u241	Minutes of the House of Commons, Daily Session 2015-01-05	2015-01-05	2015-01-05	Lower house	55					Reference	Regular	MP	CON	Conservative	Coalition	James (Wollaston), Sarah	F	-
ParlaMint-GB_2015-01-05-commons.u242	Minutes of the House of Commons, Daily Session 2015-01-05	2015-01-05	2015-01-05	Lower house	55					Reference	Regular	MP	CON	Conservative	Coalition	Hunt, Jeremy Richard Streynsham	M	-
ParlaMint-GB_2015-01-05-commons.u243	Minutes of the House of Commons, Daily Session 2015-01-05	2015-01-05	2015-01-05	Lower house	55					Reference	Regular	MP	LAB	Labour	Opposition	Greatrex, Tom	M	-
ParlaMint-GB_2015-01-05-commons.u244	Minutes of the House of Commons, Daily Session 2015-01-05	2015-01-05	2015-01-05	Lower house	55					Reference	Regular	MP	CON	Conservative	Coalition	Hunt, Jeremy Richard Streynsham	M	-
ParlaMint-GB_2015-01-05-commons.u245	Minutes of the House of Commons, Daily Session 2015-01-05	2015-01-05	2015-01-05	Lower house	55					Reference	Regular	MP	LD	Liberal Democrat	Coalition	Heath, David William St John	M	-
